city1,neighbor1,distance1,neighbor2,distance2,neighbor3,distance3,neighbor4,distance4,neighbor5,distance5,neighbor6,distance6,neighbor7,distance7,neighbor8,distance9
Campina Grande,Lagoa Seca,"8,8",Queimadas,17,Puxinanã,"14,6",Riachão do Bacamarte,"30,8",Boa Vista,"44,1",Soledade,"57,2",Pocinhos,"29,6",Fagundes,"26,9"
Lagoa Seca,Campina Grande,"8,8",Alagoa Nova,"18,5",Esperança,17,,,,,,,,,,
Esperança,Remígio,"9,7",Montadas,"16,1",Lagoa Seca,17,,,,,,,,,,
Montadas,Puxinanã,"7,8",Pocinhos,"14,1",Esperança,"16,1",,,,,,,,,,
Pocinhos,Montadas,"14,1",Puxinanã,"23,8",Soledade,"37,9",Campina Grande,"29,6",,,,,,,,
Puxinanã,Montadas,"7,8",Pocinhos,"23,8",Campina Grande,"14,6",Soledade,"51,3",,,,,,,,
Patos,São Mamede,"24,6",São José do Bonfim,"16,7",São José de Espinharas,"25,7",Malta,"31,5",Cacimba de Areia,24,Santa Teresinha,"20,7",Areia de Baraúnas,"47,8",,
São José de Espinharas,Patos,"25,7",São José do Bonfim,17,Serra Negra do Norte,"32,4",,,,,,,,,,
São José do Bonfim,Patos,"16,7",Teixeira,"13,7",Mãe d'Água,"20,8",São José de Espinharas,17,,,,,,,,
Mãe d'Água,São José do Bonfim,"20,8",São João do Sabugi,"30,1",Maturéia,"14,5",São José do Sabugi,"30,1",,,,,,,,
Teixeira,São José do Bonfim,"13,7",Cacimbas,"34,7",Maturéia,"13,7",,,,,,,,,,
Malta,Patos,"31,5",Vista Serrana,22,,,,,,,,,,,,
Santa Teresinha,Patos,"20,7",,,,,,,,,,,,,,
São Mamede,Patos,"24,6",Ipueira,"18,4",Santa Luzia,22,,,,,,,,,,
Ipueira,São Mamede,"18,4",,,,,,,,,,,,,,
Santa Luzia,São Mamede,22,São José do Sabugi,19,Junco do Seridó,"31,3",Várzea,"14,8",,,,,,,,
Várzea,Santa Luzia,"14,8",,,,,,,,,,,,,,
São José do Sabugi,Santa Luzia,19,Mãe d'Água,"30,1",,,,,,,,,,,,
Junco do Seridó,Santa Luzia,"31,3",Tenório,"15,6",Assunção,"19,4",Juazeirinho,"19,4",,,,,,,,
Tenório,Junco do Seridó,"15,6",Juazeirinho,"19,4",,,,,,,,,,,,
Juazeirinho,Junco do Seridó,"19,4",Tenório,"19,4",Assunção,"17,2",Soledade,"25,2",,,,,,,,
Assunção,Junco do Seridó,"19,4",Juazeirinho,"17,2",Salgadinho,"15,3",,,,,,,,,,
Salgadinho,Assunção,"15,3",Areia de Baraúnas,"12,3",,,,,,,,,,,,
Areia de Baraúnas,Salgadinho,"12,3",Cacimba de Areia,"26,3",Patos,48,,,,,,,,,,
Cacimba de Areia,Patos,24,Areia de Baraúnas,"26,3",,,,,,,,,,,,
Soledade,Juazeirinho,"25,2",Campina Grande,"57,2",Gurjão,"31,5",Olivedos,"25,3",São Vicente do Seridó,"16,4",Pocinhos,"37,9",Puxinanã,"51,3",,
Olivedos,Soledade,"25,3",São Vicente do Seridó,"21,6",Cubati,21,,,,,,,,,,
Cubati,Olivedos,21,São Vicente do Seridó,"12,5",,,,,,,,,,,,
São Vicente do Seridó,Cubati,"12,5",Olivedos,"21,6",Soledade,"16,4",,,,,,,,,,
Gurjão,Soledade,"31,5",São João do Cariri,"18,6",Boa Vista,"42,8",,,,,,,,,,
Queimadas,Campina Grande,17,Boqueirão,"29,2",Fagundes,"16,9",,,,,,,,,,
Fagundes,Queimadas,"16,9",Campina Grande,"26,9",Riachão do Bacamarte,25,,,,,,,,,,
Boa Vista,Campina Grande,"44,1",Gurjão,"42,8",Cabaceiras,"31,5",São João do Cariri,"36,6",,,,,,,,
Maturéia,Mãe d'Água,"14,5",Teixeira,"13,7",,,,,,,,,,,,
Vista Serrana,Malta,"22,1",,,,,,,,,,,,,,
Remígio,Esperança,"9,7",,,,,,,,,,,,,,
Serra Negra do Norte,São José de Espinharas,"32,4",,,,,,,,,,,,,,
São João do Cariri,Serra Branca,"19,7",Gurjão,"18,6",Parari,"20,6",Boa Vista,"36,6",Macambira,"19,7",São José dos Cordeiros,"31,2",,,,
Serra Branca,Coxixola,"20,3",Sumé,"32,7",São João do Cariri,"19,7",São José dos Cordeiros,"26,8",,,,,,,,
Riachão do Bacamarte,Serra Redonda,16,Juarez Távora,16,Ingá,11,Campina Grande,"30,8",Fagundes,25,,,,,,
Santa Rita,João Pessoa,"14,8",Lucena,"40,9",Mamanguape,"45,1",Sapé,"45,6",Conde,"26,2",,,,,,
Conde,Santa Rita,"26,2",João Pessoa,"23,7",,,,,,,,,,,,
João Pessoa,Santa Rita,"14,8",Cabedelo,"12,4",Conde,"23,7",Sapé,"58,1",Lucena,"48,4",,,,,,
Cabedelo,João Pessoa,"12,4",,,,,,,,,,,,,,
Sapé,João Pessoa,"58,1",Mamanguape,"36,4",Santa Rita,"45,6",Lucena,"68,7",,,,,,,,
Lucena,João Pessoa,"48,4",Santa Rita,"40,9",Mamanguape,47,Sapé,"68,7",,,,,,,,
Juarez Távora,Alagoa Grande,"17,4",Riachão do Bacamarte,16,,,,,,,,,,,,
Alagoa Grande,Juarez Távora,"17,4",Areia,"17,3",Alagoa Nova,"25,8",Guarabira,"28,6",,,,,,,,
Areia,Alagoa Grande,"17,3",,,,,,,,,,,,,,
Alagoa Nova,Lagoa Seca,"18,5",Alagoa Grande,"25,8",,,,,,,,,,,,
Guarabira,Alagoa Grande,"28,6",,,,,,,,,,,,,,
Cacimbas,Teixeira,"34,7",,,,,,,,,,,,,,
Cabaceiras,Boa Vista,"31,5",,,,,,,,,,,,,,
Parari,São João do Cariri,"20,6",,,,,,,,,,,,,,
Macambira,São João do Cariri,"19,7",,,,,,,,,,,,,,
São José dos Cordeiros,São João do Cariri,"31,2",Serra Branca ,"26,8",,,,,,,,,,,,
Ingá,Riachão do Bacamarte,11,,,,,,,,,,,,,,
Serra Redonda,Riachão do Bacamarte,16,,,,,,,,,,,,,,
Mamanguape,Santa Rita,"45,1",Sapé,"36,4",Lucena,47,,,,,,,,,,
Boqueirão,Queimadas,"29,2",,,,,,,,,,,,,,
Coxixola,Serra Branca,"20,3",,,,,,,,,,,,,,
Sumé,Serra Branca,"32,7",,,,,,,,,,,,,,